,0203 2C,VOTES,PERCENT,,,
0,REGISTERED VOTERS - TOTAL,1468,,,,
1,BALLOTS CAST - TOTAL.,171,,,,
2,BALLOTS CAST - BLANK.,0,,,,
3,VOTER TURNOUT - TOTAL,,11.65,,,
4,VOTER TURNOUT - BLANK,,,,,
5,MAYOR,,,,,
6,Vote for 1,,,,,
7,Domenic J. Sarno,135,78.95,,,
8,Yolanda Cancel,36,21.05,,,
9,WRITE-IN.,0,,,,
10,Blanks,0,,,,
11,CITY COUNCIL AT LARGE Vote for 5,,,,,
12,Justin J. Hurst,76,12.32,,,
13,Jesse Lederman.,72,11.67,,,
14,Kateri B. Walsh,84,13.61,,,
15,Tracye L. Whitfield,62,10.05,,,
16,LaMar Cook,32,5.19,,,
17,Sean Curran.,110,17.83,,,
18,Johnnie Ray Mcknight.,13,2.11,,,
19,Kelli P. Moriarty-Finn,67,10.86,,,
20,Christopher J. Pohner,56,9.08,,,
21,Israel Rivera,45,7.29,,,
22,WRITE-IN.,0,,,,
23,Blanks,238,,,,
24,CITY COUNCIL WARD 2,,,,,
25,Vote for 1,,,,,
26,Michael A. Fenton.,131,98.50,,,
27,WRITE-IN.,2,1.50,,,
28,Blanks,38,,,,
