,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1795,,
1,BALLOTS CAST - TOTAL.,318,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,17.72,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,236,76.38,
8,Yolanda Cancel,72,23.30,
9,WRITE-IN.,1,.32,
10,Blanks,9,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,163,"13,91",
13,Jesse Lederman.,175,14.93,
14,Kateri B. Walsh,160,13.65,
15,Tracye L. Whitfield,127,10.84,
16,LaMar Cook,58,4.95,
17,Sean Curran.,133,11.35,
18,Johnnie Ray Mcknight.,100,8.53,
19,Kelli P. Moriarty-Finn,88,7.51,
20,Christopher J. Pohner,92,7.85,
21,Israel Rivera,70,5.97,
22,WRITE-IN.,6,.51,
23,Blanks,418,,
24,CITY COUNCIL WARD 6,,,
25,Vote for 1,,,
26,Victor G. Davila,178,59.93,
27,Timothy Ryan,118,39.73,
28,WRITE-IN.,1,.34,
29,Blanks,21,,
