,0504 5D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1696,
1,BALLOTS CAST - TOTAL.,164,
2,VOTER TURNOUT - TOTAL,,9.67
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,124,78.48
6,YOLANDA CANCEL.,17,10.76
7,JEFFERY P. DONNELLY,10,6.33
8,LINDA MATYS 0'CONNELL,7,4.43
9,WRITE-IN.,0,
10,Blanks,6,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,95,15.40
14,JESSE LEDERMAN.,67,10.86
15,KATERI B. WALSH,77,12.48
16,TRACYE L. WHITFIELD,65,10.53
17,LaMAR COOK,23,3.73
18,SEAN CURRAN.,84,13.61
19,KENCY GILET.,22,3.57
20,JOHNNIE RAY MCKNIGHT.,34,5.51
21,KELLI P. MORIARTY-FINN,46,7.46
22,CHRISTOPHER J. POHNER,68,11.02
23,ISRAEL RIVERA,36,5.83
24,WRITE-IN.,0,
25,Blanks,203,
