,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1481,,
1,BALLOTS CAST - TOTAL.,245,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,16.54,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,175,72.02,
8,Yolanda Cancel,68,27.98,
9,WRITE-IN.,0,,
10,Blanks,2,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,164,18.28,
13,Jesse Lederman.,117,13.04,
14,Kateri B. Walsh,105,11.71,
15,Tracye L. Whitfield,112,12.49,
16,LaMar Cook,56,6.24,
17,Sean Curran.,87,9.70,
18,Johnnie Ray Mcknight.,48,5.35,
19,Kelli P. Moriarty-Finn,58,6.47,
20,Christopher J. Pohner,58,6.47,
21,Israel Rivera,89,9.92,
22,WRITE-IN.,3,.33,
23,Blanks,328,,
24,CITY COUNCIL WARD 7,,,
25,Vote for 1,,,
26,Timothy C. Allen,182,98.91,
27,WRITE-IN.,2,1.09,
28,Blanks,61,,
