,0502 5B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1601,
1,BALLOTS CAST - TOTAL.,115,
2,VOTER TURNOUT - TOTAL,,7.18
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,74,66.67
6,YOLANDA CANCEL.,24,21.62
7,JEFFERY P. DONNELLY,8,7.21
8,LINDA MATYS O'CONNELL,4,3.60
9,WRITE-IN.,1,.90
10,Blanks,4,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,76,16.49
14,JESSE LEDERMAN.,55,11.93
15,KATERI B. WALSH,62,13.45
16,TRACYE L. WHITFIELD,73,15.84
17,LaMAR COOK,37,8.03
18,SEAN CURRAN.,29,6.29
19,KENCY GILET.,19,4.12
20,JOHNNIE RAY MCKNIGHT.,30,6.51
21,KELLI P. MORIARTY-FINN,20,4.34
22,CHRISTOPHER J. POHNER,34,7.38
23,ISRAEL RIVERA,25,5.42
24,WRITE-IN.,1,.22
25,Blanks,114,
