,0105 1E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1678,
1,BALLOTS CAST - TOTAL.,161,9.59
2,VOTER TURNOUT - TOTAL,,
3,CITY COUNCIL AT LARGE WARD 1,,
4,VOTE FOR 1,57,35.40
5,ZAIDA LUNA,67,41.61
6,JOSE L. CLAUDIO,32,19.88
7,STEPHEN DALY,4,2.48
8,MIGUEL RIVAS JR.,1,.62
9,WRITE-IN.,,
