,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1560,
1,BALLOTS CAST - TOTAL.,57,
2,VOTER TURNOUT - TOTAL,,3.65
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,32,57.14
6,YOLANDA CANCEL.,15,26.79
7,JEFFERY P. DONNELLY,5,8.93
8,LINDA MATYS 0 'CONNELL,4,7.14
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,39,18.84
13,JESSE LEDERMAN.,35,16.91
14,KATERI B. WALSH,32,15.46
15,TRACYE L. WHITFIELD .,22,10.63
16,LaMAR COOK,14,6.76
17,SEAN CURRAN.,16,7.73
18,KENCY GILET.,2,.97
19,JOHNNIE RAY MCKNIGHT.,13,6.28
20,KELLI P. MORIARTY-FINN,17,8.21
21,CHRISTOPHER J. POHNER,4,1.93
22,ISRAEL RIVERA,12,5.80
23,WRITE-IN.,1,.48
24,Blanks,78,
