,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1608,
1,BALLOTS CAST - TOTAL.,194,
2,VOTER TURNOUT - TOTAL,,12.06
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,98,13.26
5,JUSTIN J. HURST,84,11.37
6,KATERI B. WALSH,111,15.02
7,ERNESTO E. CRUZ,41,5.55
8,VICTOR G. DAVILA .,63,8.53
9,JESSE LEDERMAN. . .,94,12.72
10,JYNAI S. McDONALD.,31,4.19
11,KELLI P. MORIARTY-FINN,61,8.25
12,TIMOTHY RYAN,101,13.67
13,TRACYE L. WHITFIELD,53,7.17
14,WRITE-IN,2,.27
15,Blanks,231,
16,CITY COUNCIL WARD 6,,
17,VOTE FOR 1,,
18,KENNETH SHEA,133,76.00
19,BOB COLLAMORE,39,22.29
20,WRITE-IN.,3,1.71
21,Blanks,19,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,95,30.55
24,JAMES J. FERRERA III.,81,26.05
25,RYAN HESS,62,19.94
26,LaTONIA MONROE NAYLOR,73,23.47
27,WRITE-IN,0,
28,Blanks,77,
29,SCHOOL COMMITTEE DISTRICT 3,,
30,VOTE FOR 1,,
31,CHRISTOPHER COLLINS,119,96.75
32,WRITE-IN.,4,3.25
33,Blanks,71,
