,0601 6A,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1450,,
1,BALLOTS CAST - TOTAL.,222,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,15.31,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,138,64.79,
8,Yolanda Cancel,74,34.74,
9,WRITE-IN.,1,.47,
10,Blanks,9,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,104,13.02,
13,Jesse Lederman.,139,17.40,
14,Kateri B. Walsh,118,14.77,
15,Tracye L. Whitfield,109,13.64,
16,LaMar Cook,41,5.13,
17,Sean Curran.,69,8.64,
18,Johnnie Ray Mcknight.,37,4.63,
19,Kelli P. Moriarty-Finn,86,10.76,
20,Christopher J. Pohner,31,3.88,
21,Israel Rivera,62,7.76,
22,WRITE-IN.,3,.38,
23,Blanks,311,,
24,CITY COUNCIL WARD 6,,,
25,Vote for 1,,,
26,Victor G. Davila,103,48.82,
27,Timothy Ryan,107,50.71,
28,WRITE-IN.,1,.47,
29,Blanks,11,,
