,0103,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1355,
1,BALLOTS CAST - TOTAL.,29,
2,VOTER TURNOUT - TOTAL,,2.14
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,18,66.67
6,YOLANDA CANCEL.,9,33.33
7,JEFFERY P. DONNELLY,0,
8,LINDA MATYS 0'CONNELL,0,
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,17,16.83
13,JESSE LEDERMAN.,11,10.89
14,KATERI B. WALSH,14,13.86
15,TRACYE L. WHITFIELD,10,9.90
16,LaMAR COOK,8,7.92
17,SEAN CURRAN.,9,8.91
18,KENCY GILET.,1,.99
19,JOHNNIE RAY MCKNIGHT.,4,3.96
20,KELLI P. MORIARTY-FINN,5,4.95
21,CHRISTOPHER J. POHNER,5,4.95
22,ISRAEL RIVERA,17,16.83
23,WRITE-IN.,0,
24,Blanks,44,
