,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1626,,
1,BALLOTS CAST - TOTAL.,222,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,13.65,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,157,70.72,
8,Yolanda Cancel,65,29.28,
9,WRITE-IN.,0,,
10,Blanks,0,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,144,17.60,
14,Jesse Lederman.,111,13.57,
15,Kateri B. Walsh,105,12.84,
16,Tracye L. Whitfield,108,13.20,
17,LaMar Cook,57,6.97,
18,Sean Curran.,81,9.90,
19,Johnnie Ray Mcknight.,47,5.75,
20,Kelli P. Moriarty-Finn,46,5.62,
21,Christopher J. Pohner,41,5.01,
22,Israel Rivera,77,9.41,
23,WRITE-IN,1,.12,
24,Blanks,292,,
25,CITY COUNCIL WARD 8,,,
26,Vote for 1,,,
27,Orlando Ramos,168,97.11,
28,WRITE-IN.,5,2.89,
29,Blanks,49,,
