,0104 1D,VOTES 1561,PERCENT
0,REGISTERED VOTERS - TOTAL,,
1,BALLOTS CAST - TOTAL.,84,5.38
2,VOTER TURNOUT - TOTAL,,
3,CITY COUNCIL AT LARGE WARD 1,,
4,VOTE FOR 1,,45.24
5,ZAIDA LUNA,38 26,30.95
6,JOSE L. CLAUDIO,9,10.71
7,STEPHEN DALY,11,13.10
8,MIGUEL RIVAS JR.,0,
9,WRITE-IN,,
