,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1764,
1,BALLOTS CAST - TOTAL.,143,
2,VOTER TURNOUT - TOTAL,,8.11
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,109,79.56
6,YOLANDA CANCEL.,16,11.68
7,JEFFERY P. DONNELLY,6,4.38
8,LINDA MATYS 0'CONNELL,6,4.38
9,WRITE-IN.,0,
10,Blanks,6,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,79,14.71
14,JESSE LEDERMAN.,74,13.78
15,KATERI B. WALSH,76,14.15
16,TRACYE L. WHITFIELD,55,10.24
17,LaMAR COOK,19,3.54
18,SEAN CURRAN.,58,10.80
19,KENCY GILET.,14,2.61
20,JOHNNIE RAY MCKNIGHT.,40,7.45
21,KELLI P. MORIARTY-FINN,38,7.08
22,CHRISTOPHER J. POHNER,66,12.29
23,ISRAEL RIVERA,17,3.17
24,WRITE-IN.,1,.19
25,Blanks,178,
