,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1562,,
1,BALLOTS CAST - TOTAL.,256,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,16.39,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,191,75.49,
8,Yolanda Cancel,62,24.51,
9,WRITE-IN.,0,,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,151,17.02,
14,Jesse Lederman.,112,12.63,
15,Kateri B. Walsh,119,13.42,
16,Tracye L. Whitfield .,148,16.69,
17,LaMar Cook,74,8.34,
18,Sean Curran.,70,7.89,
19,Johnnie Ray Mcknight.,39,4.40,
20,Kelli P. Moriarty-Finn,45,5.07,
21,Christopher J. Pohner,38,4.28,
22,Israel Rivera,87,9.81,
23,WRITE-IN.,4,.45,
24,Blanks,393,,
25,CITY COUNCIL WARD 8,,,
26,Vote for 1,,,
27,Orlando Ramos,183,97.34,
28,WRITE-IN.,5,2.66,
29,Blanks,68,,
