,0701 7A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1679,
1,BALLOTS CAST - TOTAL.,183,
2,VOTER TURNOUT - TOTAL,,10.90
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,97,14.97
5,JUSTIN J. HURST,70,10.80
6,KATERI B. WALSH,85,13.12
7,ERNESTO E. CRUZ .,12,1.85
8,VICTOR G. DAVILA,66,10.19
9,MARILYN FELIX,32,4.94
10,JESSE LEDERMAN.,81,12.50
11,JYNAI S. McDONALD.,21,3.24
12,KELVIN MOLINA,17,2.62
13,KELLI P. MORIARTY-FINN,36,5.56
14,TIMOTHY RYAN,86,13.27
15,WILLIE J. THOMAS,10,1.54
16,TRACYE L. WHITFIELD,34,5.25
17,WRITE-IN.,1,.15
18,Blanks,267,29.18
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,64,20.85
22,JAMES M. ANZIANO,15,4.89
23,LaMAR COOK,14,4.56
24,JAMES J. FERRERA III.,70,22.80
25,JOESIAH GONZALEZ,10,3.26
26,RYAN HESS,66,21.50
27,MICHAEL D. KOCSMIERSKY,7,2.28
28,LaTONIA MONROE NAYLOR,61,19.87
29,WRITE-IN.,0,
30,Blanks,59,16.12
