,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1198,,
1,BALLOTS CAST - TOTAL,83,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,6.93,
4,VOTER TURNOUT - BLANK,,,
5,,,,
6,MAYOR,,,
7,Vote for 1,,,
8,Domenic J. Sarno,61,73.49,
9,Yolanda Cancel,22,26.51,
10,WRITE-IN.,0,,
11,Blanks,0,,
12,CITY COUNCIL AT LARGE,,,
13,Vote for 5,,,
14,Justin J. Hurst,48,17.91,
15,Jesse Lederman.,34,12.69,
16,Kateri B. Walsh,37,13.81,
17,Tracye L. Whitfield,33,12.31,
18,LaMar Cook,24,8.96,
19,Sean Curran.,19,7.09,
20,Johnnie Ray Mcknight.,13,4.85,
21,Kelli P. Moriarty-Finn,20,7.46,
22,Christopher J. Pohner,8,2.99,
23,Israel Rivera,31,11.57,
24,WRITE-IN.,1,.37,
25,Blanks,147,,
26,CITY COUNCIL WARD 3,,,
27,Vote for 1,,,
28,Melvin A. Edwards.,70,98.59,
29,WRITE-IN.,1,1.41,
30,Blanks,12,,
