,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1747,
1,BALLOTS CAST - TOTAL.,296,
2,VOTER TURNOUT - TOTAL,,16.94
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,189,18.03
5,JUSTIN J. HURST,96,9.16
6,KATERI B. WALSH .,133,12.69
7,ERNESTO E. CRUZ .,27,2.58
8,VICTOR G. DAVILA .,66,6.30
9,MARILYN FELIX,36,3.44
10,JESSE LEDERMAN.,109,10.40
11,JYNAI S. McDONALD.,40,3.82
12,KELVIN MOLINA,16,1.53
13,KELLI P. MORIARTY-FINN,112,10.69
14,TIMOTHY RYAN,171,16.32
15,WILLIE J. THOMAS,10,.95
16,TRACYE L. WHITFIELD,42,4.01
17,WRITE-IN.,1,.10
18,Blanks,432,29.19
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,97,19.32
22,JAMES M. ANZIANO,31,6.18
23,LaMAR COOK,16,3.19
24,JAMES J. FERRERA III.,115,22.91
25,JOESIAH GONZALEZ,9,1.79
26,RYAN HESS,165,32.87
27,MICHAEL D. KOCSMIERSKY,20,3.98
28,LaTONIA MONROE NAYLOR,49,9.76
29,WRITE-IN.,0,
30,Blanks,90,15.20
