,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1617,
1,BALLOTS CAST - TOTAL.,28,
2,VOTER TURNOUT - TOTAL,,1.73
3,CITY COUNCIL AT LARGE WARD 5 VOTE FOR 1,,
4,CLODO CONCEPCION,17,60.71
5,MICHAEL BELANGER,1,3.57
6,KYLE BURNS,10,35.71
7,WRITE-IN.,0,
