,,VOTES,PERCENT,,,
0,,,,,,
1,- TOTAL.,127,,,,
2,- BLANK.,0,,,,
3,,,,,,
4,- BLANK,,,,,
5,,,,,,
6,,,,,,
7,Sarno,82,65.08,,,
8,,,,,,
9,,0,,,,
10,,,,,,
11,LARGE,,,,,
12,,70,15.56,,,
13,,,,,,
14,,69,15.33,,,
15,Whitfield,60,13.33,,,
16,,,,,,
17,,34,7.56,,,
18,Mcknight.,23,5.11,,,
19,,,,,,
20,Pohner,30,6.67,,,
21,,,,,,
22,,0,,,,
23,,185,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,2,2.27,,,
28,,39,,,,
