,0204 2D,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1680,,
1,BALLOTS CAST - TOTAL,259,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,15.42,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,189,74.70,
8,Yolanda Cancel,61,24.11,
9,WRITE-IN.,3,1.19,
10,Blanks,6,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,126,13.11,
13,Jesse Lederman.,101,10.51,
14,Kateri B. Walsh,122,12.70,
15,Tracye L. Whitfield,114,11.86,
16,LaMar Cook,39,4.06,
17,Sean Curran.,160,16.65,
18,Johnnie Ray Mcknight.,36,3.75,
19,Kelli P. Moriarty-Finn,95,9.89,
20,Christopher J. Pohner,95,9.89,
21,Israel Rivera,73,7.60,
22,WRITE-IN.,0,,
23,Blanks,334,,
24,CITY COUNCIL WARD 2,,,
25,Vote for 1,,,
26,Michael A. Fenton.,190,98.45,
27,WRITE-IN.,3,1.55,
28,Blanks,66,,
