,0508 5H,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1393,,
1,BALLOTS CAST - TOTAL.,350,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,25.13,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,286,83.14,
8,Yolanda Cancel,58,16.86,
9,WRITE-IN.,0,,
10,Blanks,6,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,198,15.29,
14,Jesse Lederman.,158,12.20,
15,Kateri B. Walsh,187,14.44,
16,Tracye L. Whitfield,135,10.42,
17,LaMar Cook,52,4.02,
18,Sean Curran.,186,14.36,
19,Johnnie Ray Mcknight.,48,3.71,
20,Kelli P. Moriarty-Finn,110,8.49,
21,Christopher J. Pohner,126,9.73,
22,Israel Rivera,95,7.34,
23,WRITE-IN.,0,,
24,Blanks,455,,
25,CITY COUNCIL WARD 5,,,
26,Vote for 1,,,
27,Marcus J. Williams,179,64.62,
28,Edward Green,98,35.38,
29,WRITE-IN.,0,,
30,Blanks,73,,
