,0103 1C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1384,
1,BALLOTS CAST - TOTAL.,96,
2,VOTER TURNOUT - TOTAL,,6.94
3,CITY COUNCIL AT LARGE WARD 1,,
4,VOTE FOR 1,,
5,ZAIDA LUNA,23,23.96
6,JOSE L. CLAUDIO,61,63.54
7,STEPHEN DALY,2,2.08
8,MIGUEL RIVAS JR.,10,10.42
9,WRITE-IN,0,
