,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1927,,
1,BALLOTS CAST - TOTAL.,162,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,8.41,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,109,67.70,
8,Yolanda Cancel,51,31.68,
9,WRITE-IN.,1,.62,
10,Blanks,1,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,77,12.54,
13,Jesse Lederman.,85,13.84,
14,Kateri B. Walsh,75,12.21,
15,Tracye L. Whitfield,97,15.80,
16,LaMar Cook,58,9.45,
17,Sean Curran.,52,8.47,
18,Johnnie Ray Mcknight.,36,5.86,
19,Kelli P. Moriarty-Finn,49,7.98,
20,Christopher J. Pohner,28,4.56,
21,Israel Rivera,52,8.47,
22,WRITE-IN.,5,.81,
23,Blanks,196,,
24,,,,
25,CITY COUNCIL WARD 1,,,
26,Vote for 1,,,
27,Adam Gomez,102,99.03,
28,WRITE-IN.,1,.97,
29,Blanks,59,,
