,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1427,,
1,BALLOTS CAST - TOTAL.,126,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,8.83,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,94,75.81,
8,Yolanda Cancel,30,24.19,
9,WRITE-IN.,0,,
10,Blanks,2,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,58,13.62,
13,Jesse Lederman.,45,10.56,
14,Kateri B. Walsh,65,15.26,
15,Tracye L. Whitfield,41,9.62,
16,LaMar Cook,33,7.75,
17,Sean Curran.,49,11.50,
18,Johnnie Ray Mcknight.,12,2.82,
19,Kelli P. Moriarty-Finn,33,7.75,
20,Christopher J. Pohner,44,10.33,
21,Israel Rivera,44,10.33,
22,WRITE-IN.,2,.47,
23,Blanks,204,,
24,CITY COUNCIL WARD 8,,,
25,Vote for 1,,,
26,Orlando Ramos,88,96.70,
27,WRITE-IN.,3,3.30,
28,Blanks,35,,
