,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1921,
1,BALLOTS CAST - TOTAL.,72,
2,VOTER TURNOUT - TOTAL,,3.75
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,55,78.57
6,YOLANDA CANCEL.,12,17.14
7,JEFFERY P. DONNELLY,0,
8,LINDA MATYS 0'CONNELL,3,4.29
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,39,14.89
13,JESSE LEDERMAN.,45,17.18
14,KATERI B. WALSH,34,12.98
15,TRACYE L. WHITFIELD .,26,9.92
16,LaMAR COOK,20,7.63
17,SEAN CURRAN.,19,7.25
18,KENCY GILET.,7,2.67
19,JOHNNIE RAY MCKNIGHT.,6,2.29
20,KELLI P. MORIARTY-FINN,28,10.69
21,CHRISTOPHER J. POHNER,17,6.49
22,ISRAEL RIVERA,21,8.02
23,WRITE-IN.,0,
24,Blanks,98,
