,VOTE FOR 5,,
0,THOMAS ASHE.,40,12.20
1,JAMES J. FERRERA,43,13.11
2,TIMOTHY J. ROOKE,29,8.84
3,KATERI B. WALSH,33,10.06
4,BRUCE SAMUEL ADAMS JR,15,4.57
5,DAVID F. CIAMPI,9,2.74
6,JOSEPH R. FOUNTAIN,10,3.05
7,JUSTIN J. HURST,15,4.57
8,AMAAD RIVERA,52,15.85
9,CHARLES H. RUCKS,6,1.83
10,MIGUEL A. SOTO.,38,11.59
11,JOHN W. STEVENS,5,1.52
12,BUD L. WILLIAMS,33,10.06
13,WRITE-IN.,0,
14,Blanks,197,
