,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1689,
1,BALLOTS CAST - TOTAL.,181,
2,VOTER TURNOUT - TOTAL,,10.72
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,136,76.84
6,YOLANDA CANCEL.,30,16.95
7,JEFFERY P. DONNELLY,4,2.26
8,LINDA MATYS 0'CONNELL,6,3.39
9,WRITE-IN.,1,.56
10,Blanks,4,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,121,17.46
13,JESSE LEDERMAN.,80,11.54
14,KATERI B. WALSH,92,13.28
15,TRACYE L. WHITFIELD,108,15.58
16,LaMAR COOK .,44,6.35
17,SEAN CURRAN.,51,7.36
18,KENCY GILET.,19,2.74
19,JOHNNIE RAY MCKNIGHT. .,36,5.19
20,KELLI P. MORIARTY-FINN,44,6.35
21,CHRISTOPHER J. POHNER,52,7.50
22,ISRAEL RIVERA,44,6.35
23,WRITE-IN.,2,.29
24,Blanks,212,
