,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1469,
1,BALLOTS CAST - TOTAL.,94,
2,VOTER TURNOUT - TOTAL,,6.40
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,75,81.52
6,YOLANDA CANCEL.,11,11.96
7,JEFFERY P. DONNELLY,5,5.43
8,LINDA MATYS 0'CONNELL,1,1.09
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,60,17.00
14,JESSE LEDERMAN.,56,15.86
15,KATERI B. WALSH,35,9.92
16,TRACYE L. WHITFIELD .,41,11.61
17,LaMAR COOK,15,4.25
18,SEAN CURRAN.,28,7.93
19,KENCY GILET.,11,3.12
20,JOHNNIE RAY MCKNIGHT.,16,4.53
21,KELLI P. MORIARTY-FINN,25,7.08
22,CHRISTOPHER J. POHNER,41,11.61
23,ISRAEL RIVERA,24,6.80
24,WRITE-IN.,1,.28
25,Blanks,117,
