,,0804 8D VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL,1156 92,
1,,BALLOTS CAST - TOTAL.,,7.96
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,62,68.89
5,,DOMENIC J. SARNO,26,28.89
6,,SALVATORE S. CIRCOSTA,2,2.22
7,,WRITE-IN.,2,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,59,17.20
11,,THOMAS ASHE.,44,12.83
12,,JUSTIN J. HURST,46,13.41
13,,TIMOTHY J. ROOKE,52,15.16
14,,KATERI B. WALSH,51,14.87
15,,BUD L. WILLIAMS,20,5.83
16,,LaMAR COOK,20,5.83
17,,JEFFERY P. DONNELLY,20,5.83
18,,JESSE L. LEDERMAN.,11,3.21
19,,"KENNETH S. POOLER, JR",20,5.83
20,,ALEXANDER J. SHERMAN.,0,
21,,WRITE-IN.,117,
22,,Blanks,,
23,,WARD EIGHT COUNCILLOR,,
24,,VOTE FOR 1,62,96.88
25,,ORLANDO RAMOS,2,3.13
26,,WRITE-IN.,28,
27,,Blanks,,
28,,QUESTION 1,,
29,,VOTE FOR 1,61,69.32
30,,YES (SI),,27 30.68
31,,NO (NO),,4
32,,Blanks,,
33,,QUESTION 2,,
34,,VOTE FOR 1,,51 62.20
35,,YES (SI),,31 37.80
36,,NO (NO),,10
