,0704 7D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1622,
1,BALLOTS CAST - TOTAL.,164,
2,VOTER TURNOUT - TOTAL,,10.11
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,136,83.95
6,YOLANDA CANCEL.,15,9.26
7,JEFFERY P. DONNELLY,5,3.09
8,LINDA MATYS O'CONNELL,6,3.70
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,77,12.77
14,JESSE LEDERMAN.,82,13.60
15,KATERI B. WALSH,77,12.77
16,TRACYE L. WHITFIELD,41,6.80
17,LaMAR COOK,18,2.99
18,SEAN CURRAN.,67,11.11
19,KENCY GILET.,22,3.65
20,JOHNNIE RAY MCKNIGHT.,36,5.97
21,KELLI P. MORIARTY-FINN,57,9.45
22,CHRISTOPHER J. POHNER,97,16.09
23,ISRAEL RIVERA,28,4.64
24,WRITE-IN.,1,.17
25,Blanks,217,
