,0102,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1571,,
1,BALLOTS CAST - TOTAL.,212,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,13.49,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,132,62.86,
8,Yolanda Cancel,78,37.14,
9,WRITE-IN.,0,,
10,Blanks,2,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,114,16.19,
13,Jesse Lederman.,82,11.65,
14,Kateri B. Walsh,99,14.06,
15,Tracye L. Whitfield,85,12.07,
16,LaMar Cook,39,5.54,
17,Sean Curran.,55,7.81,
18,Johnnie Ray Mcknight.,54,7.67,
19,Kelli P. Moriarty-Finn,39,5.54,
20,Christopher J. Pohner,21,2.98,
21,Israel Rivera,115,16.34,
22,WRITE-IN.,1,.14,
23,Blanks,356,,
24,CITY COUNCIL WARD 1,,,
25,Vote for 1,,,
26,Adam Gomez,180,98.90,
27,WRITE-IN.,2,1.10,
28,Blanks,30,,
