,REGISTERED VOTERS - TOTAL,VOTES 1186,PERCENT
0,BALLOTS CAST - TOTAL.,41,
1,VOTER TURNOUT - TOTAL,,3.46
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,21,51.22
5,YOLANDA CANCEL.,10,24.39
6,JEFFERY P. DONNELLY,8,19.51
7,LINDA MATYS 0'CONNELL,2,4.88
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,JUSTIN J. HURST,24,15.29
13,JESSE LEDERMAN.,13,8.28
14,KATERI B. WALSH,25,15.92
15,TRACYE L. WHITFIELD .,18,11.46
16,LaMAR COOK,8,5.10
17,SEAN CURRAN.,20,12.74
18,KENCY GILET.,4,2.55
19,JOHNNIE RAY MCKNIGHT.,10,6.37
20,KELLI P. MORIARTY-FINN,10,6.37
21,CHRISTOPHER J. POHNER,11,7.01
22,ISRAEL RIVERA,13,8.28
23,WRITE-IN.,1,.64
24,Blanks,48,
