,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1659,
1,BALLOTS CAST - TOTAL.,197,
2,VOTER TURNOUT - TOTAL,,11.87
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,159,81.54
6,YOLANDA CANCEL.,22,11.28
7,JEFFERY P. DONNELLY,3,1.54
8,LINDA MATYS 0'CONNELL,11,5.64
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,80,11.13
13,JESSE LEDERMAN.,81,11.27
14,KATERI B. WALSH,112,15.58
15,TRACYE L. WHITFIELD,61,8.48
16,LaMAR COOK,20,2.78
17,SEAN CURRAN.,93,12.93
18,KENCY GILET.,18,2.50
19,JOHNNIE RAY MCKNIGHT.,28,3.89
20,KELLI P. MORIARTY-FIN,88,12.24
21,CHRISTOPHER J. POHNER,109,15.16
22,ISRAEL RIVERA,29,4.03
23,WRITE-IN.,0,
24,Blanks,266,
