,0801 8A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1707,
1,BALLOTS CAST - TOTAL.,153,
2,VOTER TURNOUT - TOTAL,,8.96
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,85,14.10
5,JUSTIN J. HURST,77,12.77
6,KATERI B. WALSH .,75,12.44
7,ERNESTO E. CRUZ . .,54,8.96
8,VICTOR G. DAVILA .,35,5.80
9,JESSE LEDERMAN. .,69,11.44
10,JYNAI S. McDONALD.,25,4.15
11,KELLI P. MORIARTY-FINN,55,9.12
12,TIMOTHY RYAN,62,10.28
13,TRACYE L. WHITFIELD,65,10.78
14,WRITE-IN.,1,.17
15,Blanks,162,
16,CITY COUNCIL WARD 8,,
17,VOTE FOR 1,,
18,ORLANDO RAMOS,115,94.26
19,WRITE-IN.,7,5.74
20,Blanks,31,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,93,37.35
23,JAMES J. FERRERA III.,67,26.91
24,RYAN HESS,31,12.45
25,LaTONIA MONROE NAYLOR,57,22.89
26,WRITE-IN.,1,.40
27,Blanks,57,
28,SCHOOL COMMITTEE DISTRICT 4,,
29,VOTE FOR 1,,
30,PETER MURPHY,63,47.37
31,ZAIDA GOVAN.,70,52.63
32,WRITE-IN.,0,
33,Blanks,20,
