,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1786,,
1,BALLOTS CAST - TOTAL.,486,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,27.21,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,416,87.58,
8,Yolanda Cancel,58,12.21,
9,WRITE-IN.,1,.21,
10,Blanks,11,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,263,14.10,
13,Jesse Lederman.,244,13.08,
14,Kateri B. Walsh,259,13.89,
15,Tracye L. Whitfield,195,10.46,
16,LaMar Cook,70,3.75,
17,Sean Curran.,256,13.73,
18,Johnnie Ray Mcknight.,69,3.70,
19,Kelli P. Moriarty-Finn,185,9.92,
20,Christopher J. Pohner,188,10.08,
21,Israel Rivera,131,7.02,
22,WRITE-IN.,5,.27,
23,Blanks,565,,
24,CITY COUNCIL WARD 7,,,
25,Vote for 1,,,
26,Timothy C. Allen,348,98.03,
27,WRITE-IN.,7,1.97,
28,Blanks,131,,
