,0505 5E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1894,
1,BALLOTS CAST - TOTAL.,237,
2,VOTER TURNOUT - TOTAL,,12.51
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,114,12.97
5,JUSTIN J. HURST,158,17.97
6,KATERI B. WALSH . .,116,13.20
7,ERNESTO E. CRUZ,53,6.03
8,VICTOR G. DAVILA,48,5.46
9,JESSE LEDERMAN. . .,88,10.01
10,JYNAI S. McDONALD.,58,6.60
11,KELLI P. MORIARTY-FINN,43,4.89
12,TIMOTHY RYAN,68,7.74
13,TRACYE L. WHITFIELD,132,15.02
14,WRITE-IN.,1,.11
15,Blanks,306,
16,CITY COUNCIL WARD 5,,
17,VOTE FOR 1,,
18,MARCUS J. WILLIAMS,183,100.00
19,WRITE-IN.,0,
20,Blanks,54,
21,SCHOOL COMMITTEE AT LARGE,,
22,VOTE FOR 2,,
23,DENISE MARIE HURST,162,41.22
24,JAMES J. FERRERA III.,87,22.14
25,RYAN HESS,35,8.91
26,LaTONIA MONROE NAYLOR,108,27.48
27,WRITE-IN.,1,.25
28,Blanks,81,
29,SCHOOL COMMITTEE DISTRICT 2,,
30,VOTE FOR 1,,
31,BARBARA GRESHAM,121,59.61
32,STEPHANIE MURCHISON-BROWN,81,39.90
33,WRITE-IN,1,.49
34,Blanks,34,
