,VOTE FOR 5,,
0,THOMAS ASHE.,57,13.26
1,JAMES J. FERRERA,37,8.60
2,TIMOTHY J. ROOKE,47,10.93
3,KATERI B. WALSH,49,11.40
4,BRUCE SAMUEL ADAMS JR,21,4.88
5,DAVID F. CIAMPI,19,4.42
6,JOSEPH R. FOUNTAIN,22,5.12
7,JUSTIN J. HURST,31,7.21
8,AMAAD RIVERA,37,8.60
9,CHARLES H. RUCKS,28,6.51
10,MIGUEL A. SOTO.,20,4.65
11,JOHN W. STEVENS,18,4.19
12,BUD L. WILLIAMS,44,10.23
13,WRITE-IN.,0,
14,Blanks,170,
