,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1477,,
1,BALLOTS CAST - TOTAL.,116,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,7.85,
4,VOTER TURNOUT - BLANK,,,
5,,,,
6,MAYOR,,,
7,Vote for 1,,,
8,Domenic J. Sarno,82,71.30,
9,Yolanda Cancel,32,27.83,
10,WRITE-IN.,1,.87,
11,Blanks,1,,
12,CITY COUNCIL AT LARGE Vote for 5,,,
13,Justin J. Hurst,61,16.22,
14,Jesse Lederman.,46,12.23,
15,Kateri B. Walsh,40,10.64,
16,Tracye L. Whitfield,45,11.97,
17,LaMar Cook,34,9.04,
18,Sean Curran.,35,9.31,
19,Johnnie Ray Mcknight.,25,6.65,
20,Kelli P. Moriarty-Finn,23,6.12,
21,Christopher J. Pohner,15,3.99,
22,Israel Rivera,51,13.56,
23,WRITE-IN.,1,.27,
24,Blanks,204,,
25,CITY COUNCIL WARD 1,,,
26,Vote for 1,,,
27,Adam Gomez,93,96.88,
28,WRITE-IN.,3,3.13,
29,Blanks,20,,
