,0608 6H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1620,
1,BALLOTS CAST - TOTAL.,140,
2,VOTER TURNOUT - TOTAL,,8.64
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,111,79.29
6,SALVATORE S. CIRCOSTA,12,8.57
7,IVELISSE GONZALEZ.,1,.71
8,MICHAEL JONES,3,2.14
9,JOHNNIE RAY MCKNIGHT.,8,5.71
10,BEVERLY L. SAVAGE.,5,3.57
11,WRITE-IN.,0,
12,Blanks,0,
