,0101 1A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1699,
1,BALLOTS CAST - TOTAL.,136,
2,VOTER TURNOUT - TOTAL,,8.00
3,CITY COUNCIL AT LARGE WARD 1 VOTE FOR 1,,
4,ZAIDA LUNA,50,36.76
5,JOSE L. CLAUDIO,75,55.15
6,STEPHEN DALY,0,
7,MIGUEL RIVAS JR.,11,8.09
8,WRITE-IN.,0,
