,0803 8C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1548,
1,BALLOTS CAST - TOTAL.,131,
2,VOTER TURNOUT - TOTAL,,8.46
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,103,82.40
6,YOLANDA CANCEL.,14,11.20
7,JEFFERY P. DONNELLY,6,4.80
8,LINDA MATYS 0'CONNELL,1,.80
9,WRITE-IN.,1,.80
10,Blanks,6,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,85,19.06
14,JESSE LEDERMAN.,70,15.70
15,KATERI B. WALSH,58,13.00
16,TRACYE L. WHITFIELD .,70,15.70
17,LaMAR COOK,35,7.85
18,SEAN CURRAN.,30,6.73
19,KENCY GILET.,13,2.91
20,JOHNNIE RAY MCKNIGHT.,12,2.69
21,KELLI P. MORIARTY-FINN,15,3.36
22,CHRISTOPHER J. POHNER,23,5.16
23,ISRAEL RIVERA,33,7.40
24,WRITE-IN.,2,.45
25,Blanks,209,
