,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,863,
1,BALLOTS CAST - TOTAL.,163,
2,VOTER TURNOUT - TOTAL,,18.89
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,84,13.77
5,JUSTIN J. HURST,93,15.25
6,KATERI B. WALSH .,83,13.61
7,ERNESTO E. CRUZ .,22,3.61
8,VICTOR G. DAVILA .,24,3.93
9,JESSE LEDERMAN. . .,71,11.64
10,JYNAI S. McDONALD.,27,4.43
11,KELLI P. MORIARTY-FINN,71,11.64
12,TIMOTHY RYAN,72,11.80
13,TRACYE L. WHITFIELD,63,10.33
14,WRITE-IN.,0,
15,Blanks,205,
16,CITY COUNCIL WARD 7,,
17,VOTE FOR 1,,
18,TIMOTHY C. ALLEN,109,100.00
19,WRITE-IN.,0,
20,Blanks,54,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,96,34.53
23,JAMES J. FERRERA III.,71,25.54
24,RYAN HESS,50,17.99
25,LaTONIA MONROE NAYLOR,61,21.94
26,WRITE-IN.,0,
27,Blanks,48,
28,SCHOOL COMMITTEE DISTRICT 3,,
29,VOTE FOR 1,,
30,CHRISTOPHER COLLINS,93,97.89
31,WRITE-IN.,2,2.11
32,Blanks,68,
