,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1533,
1,BALLOTS CAST - TOTAL.,219,
2,VOTER TURNOUT - TOTAL,,14.29
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,169,78.60
6,SALVATORE S. CIRCOSTA,45,20.93
7,WRITE-IN.,1,.47
8,Blanks,4,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,127,16.22
12,JUSTIN J. HURST,125,15.96
13,TIMOTHY J. ROOKE,105,13.41
14,KATERI B. WALSH .,101,12.90
15,BUD L. WILLIAMS,116,14.81
16,LaMAR COOK,40,5.11
17,JEFFERY P. DONNELLY,30,3.83
18,JESSE L. LEDERMAN.,55,7.02
19,"KENNETH S. POOLER, JR",38,4.85
20,ALEXANDER J. SHERMAN.,42,5.36
21,WRITE-IN.,4,.51
22,Blanks,312,
23,,,
24,WARD SEVEN COUNCILLOR,,
25,VOTE FOR 1,,
26,TIMOTHY C. ALLEN,134,69.43
27,LILLIAN GRAY,59,30.57
28,WRITE-IN.,0,
29,Blanks,26,
30,,,
