,0108 1H,,
0,,VOTES,PERCENT
1,REGISTERED VOTERS . TOTAL,1692,
2,BALLOTS CAST - TOTAL.,71,
3,VOTER TURNOUT - TOTAL,,4.20
4,CITY COUNCIL AT LARGE WARD 1 VOTE FOR 1,,
5,ZAIDA LUNA,26,36.62
6,JOSE L. CLAUDIO,15,21.13
7,STEPHEN DALY,27,38.03
8,MIGUEL RIVAS JR.,3,4.23
9,WRITE-IN.,0,
