,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1356,,
1,BALLOTS CAST - TOTAL.,90,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,6.64,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,66,73.33,
8,Yolanda Cancel,24,26.67,
9,WRITE-IN.,0,,
10,Blanks,0,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,64,18.88,
13,Jesse Lederman.,52,15.34,
14,Kateri B. Walsh,42,12.39,
15,Tracye L. Whitfield,44,12.98,
16,LaMar Cook,19,5.60,
17,Sean Curran.,28,8.26,
18,Johnnie Ray Mcknight.,18,5.31,
19,Kelli P. Moriarty-Finn,23,6.78,
20,Christopher J. Pohner,14,4.13,
21,Israel Rivera,33,9.73,
22,WRITE-IN.,2,.59,
23,Blanks,111,,
24,CITY COUNCIL WARD 3,,,
25,Vote for 1,,,
26,Melvin A. Edwards.,68,100.00,
27,WRITE-IN.,0,,
28,Blanks,22,,
