,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1700,
1,BALLOTS CAST - TOTAL.,298,
2,VOTER TURNOUT - TOTAL,,17.53
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,256,87.97
6,YOLANDA CANCEL.,17,5.84
7,JEFFERY P. DONNELLY,9,3.09
8,LINDA MATYS 0'CONNELL,9,3.09
9,WRITE-IN.,0,
10,Blanks,7,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,104,9.59
14,JESSE LEDERMAN.,138,12.72
15,KATERI B. WALSH,153,14.10
16,TRACYE L. WHITFIELD,65,5.99
17,LaMAR COOK,50,4.61
18,SEAN CURRAN.,139,12.81
19,KENCY GILET.,18,1.66
20,JOHNNIE RAY MCKNIGHT.,54,4.98
21,KELLI P. MORIARTY-FINN,154,14.19
22,CHRISTOPHER J. POHNER,173,15.94
23,ISRAEL RIVERA,37,3.41
24,WRITE-IN.,0,
25,Blanks,405,
