,0606,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1456,,
1,BALLOTS CAST - TOTAL.,217,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,14.90,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,153,71.50,
8,Yolanda Cancel,61,28.50,
9,WRITE-IN.,0,,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,125,15.13,
14,Jesse Lederman.,109,13.20,
15,Kateri B. Walsh,114,13.80,
16,Tracye L. Whitfield,108,13.08,
17,LaMar Cook,70,8.47,
18,Sean Curran.,68,8.23,
19,Johnnie Ray Mcknight.,60,7.26,
20,Kelli P. Moriarty-Finn,51,6.17,
21,Christopher J. Pohner,43,5.21,
22,Israel Rivera,77,9.32,
23,WRITE-IN.,1,.12,
24,Blanks,259,,
25,CITY COUNCIL WARD 6,,,
26,Vote for 1,,,
27,Victor G. Davila,125,61.58,
28,Timothy Ryan,77,37.93,
29,WRITE-IN.,1,.49,
30,Blanks,14,,
