,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1429,
1,BALLOTS CAST - TOTAL.,14,
2,VOTER TURNOUT - TOTAL,,.98
3,CITY COUNCIL AT LARGE WARD 5 VOTE FOR 1,,
4,CLODO CONCEPCION,10,71.43
5,MICHAEL BELANGER,1,7.14
6,KYLE BURNS,3,21.43
7,WRITE-IN,0,
