,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1505,
1,BALLOTS CAST - TOTAL,130,
2,VOTER TURNOUT - TOTAL,,8.64
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,100,81.30
6,SALVATORE S. CIRCOSTA,22,17.89
7,WRITE-IN.,1,.81
8,Blanks,7,
9,COUNCILLOR AT LARGE,,
10,,,
11,THOMAS ASHE.,55,11.90
12,,,
13,,,
14,KATERI B. WALSH,59,12.77
15,,,
16,LaMAR COOK,39,8.44
17,,,
18,,,
19,"KENNETH S. POOLER, JR",10,2.16
20,,,
21,WRITE-IN.,3,.65
22,Blanks,188,
23,,,
24,VOTE FOR 1,,
25,E. HENRY TWIGGS,68,58.62
26,VICTORIA E. ROWE,48,41.38
27,,,
28,Blanks,15,
29,,,
