,0708 7H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,791,
1,BALLOTS CAST - TOTAL.,104,
2,VOTER TURNOUT - TOTAL,,13.15
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,86,82.69
6,YOLANDA CANCEL.,11,10.58
7,JEFFERY P. DONNELLY,3,2.88
8,LINDA MATYS O'CONNELL,4,3.85
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,64,15.61
14,JESSE LEDERMAN.,53,12.93
15,KATERI B. WALSH,58,14.15
16,TRACYE L. WHITFIELD,33,8.05
17,LaMAR COOK,16,3.90
18,SEAN CURRAN.,60,14.63
19,KENCY GILET.,9,2.20
20,JOHNNIE RAY MCKNIGHT.,13,3.17
21,KELLI P. MORIARTY-FINN,39,9.51
22,CHRISTOPHER J. POHNER,47,11.46
23,ISRAEL RIVERA,18,4.39
24,WRITE-IN.,0,
25,Blanks,110,
