,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1506,,
1,BALLOTS CAST - TOTAL.,148,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,9.83,
4,VOTER TURNOUT - BLANK,,,
5,,,,
6,MAYOR,,,
7,Vote for 1,,,
8,Domenic J. Sarno,93,63.70,
9,Yolanda Cancel,53,36.30,
10,WRITE-IN.,0,,
11,Blanks,2,,
12,CITY COUNCIL AT LARGE Vote for 5,,,
13,Justin J. Hurst,83,16.05,
14,Jesse Lederman.,70,13.54,
15,Kateri B. Walsh,68,13.15,
16,Tracye L. Whitfield,94,18.18,
17,LaMar Cook,61,11.80,
18,Sean Curran.,33,6.38,
19,Johnnie Ray Mcknight.,29,5.61,
20,Kelli P. Moriarty-Finn,25,4.84,
21,Christopher J. Pohner,12,2.32,
22,Israel Rivera,38,7.35,
23,WRITE-IN.,4,.77,
24,Blanks,223,,
25,CITY COUNCIL WARD 4,,,
26,Vote for 1,,,
27,Malo L. Brown,88,60.69,
28,Jynai S. McDonald.,56,38.62,
29,WRITE-IN.,1,.69,
30,Blanks,3,,
