,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1648,
1,BALLOTS CAST - TOTAL.,93,
2,VOTER TURNOUT - TOTAL,,5.64
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,71,77.17
6,YOLANDA CANCEL.,14,15.22
7,JEFFERY P. DONNELLY,4,4.35
8,LINDA MATYS 0'CONNELL,3,3.26
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,50,16.50
13,JESSE LEDERMAN.,38,12.54
14,KATERI B. WALSH,45,14.85
15,TRACYE L. WHITFIELD,31,10.23
16,LaMAR COOK,20,6.60
17,SEAN CURRAN.,29,9.57
18,KENCY GILET.,7,2.31
19,JOHNNIE RAY MCKNIGHT.,10,3.30
20,KELLI P. MORIARTY-FINN,15,4.95
21,CHRISTOPHER J. POHNER,16,5.28
22,ISRAEL RIVERA,42,13.86
23,WRITE-IN.,0,
24,Blanks,162,
