,0301 3A,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1579,,
1,BALLOTS CAST - TOTAL.,140,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,8.87,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,100,71.43,
8,Yolanda Cancel,40,28.57,
9,WRITE-IN.,0,,
10,Blanks,0,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,77,15.62,
14,Jesse Lederman.,79,16.02,
15,Kateri B. Walsh,72,14.60,
16,Tracye L. Whitfield,64,12.98,
17,LaMar Cook,32,6.49,
18,Sean Curran.,40,8.11,
19,Johnnie Ray Mcknight.,27,5.48,
20,Kelli P. Moriarty-Finn,33,6.69,
21,Christopher J. Pohner,27,5.48,
22,Israel Rivera,41,8.32,
23,WRITE-IN.,1,.20,
24,Blanks,207,,
25,CITY COUNCIL WARD 3,,,
26,Vote for 1,,,
27,Melvin A. Edwards.,101,98.06,
28,WRITE-IN.,2,1.94,
29,Blanks,37,,
