,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1798,
1,BALLOTS CAST - TOTAL.,90,
2,VOTER TURNOUT - TOTAL,,5.01
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,28,9.46
5,JUSTIN J. HURST,30,10.14
6,KATERI B. WALSH,22,7.43
7,ERNESTO E. CRUZ .,48,16.22
8,VICTOR G. DAVILA,25,8.45
9,MARILYN FELIX,42,14.19
10,JESSE LEDERMAN.,20,6.76
11,JYNAI S. McDONALD.,14,4.73
12,KELVIN MOLINA,40,13.51
13,KELLI P. MORIARTY-FINN,2,.68
14,TIMOTHY RYAN,10,3.38
15,WILLIE J. THOMAS,6,2.03
16,TRACYE L. WHITFIELD,9,3.04
17,WRITE-IN.,0,
18,Blanks,154,34.22
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,40,26.14
22,JAMES M. ANZIANO,12,7.84
23,LaMAR COOK,7,4.58
24,JAMES J. FERRERA III.,21,13.73
25,JOESIAH GONZALEZ,58,37.91
26,RYAN HESS,4,2.61
27,MICHAEL D. KOCSMIERSKY,0,
28,LaTONIA MONROE NAYLOR,10,6.54
29,WRITE-IN.,1,.65
30,Blanks,27,15.00
