,0201 2A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1360,
1,BALLOTS CAST - TOTAL.,46,
2,VOTER TURNOUT - TOTAL,,3.38
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,42,91.30
6,YOLANDA CANCEL.,2,4.35
7,JEFFERY P. DONNELLY,1,2.17
8,LINDA MATYS O'CONNELL,1,2.17
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,18,12.41
13,JESSE LEDERMAN.,9,6.21
14,KATERI B. WALSH,15,10.34
15,TRACYE L. WHITFIELD,11,7.59
16,LaMAR COOK .,7,4.83
17,SEAN CURRAN.,25,17.24
18,KENCY GILET.,7,4.83
19,JOHNNIE RAY MCKNIGHT.,4,2.76
20,KELLI P. MORIARTY-FINN,19,13.10
21,CHRISTOPHER J. POHNER,21,14.48
22,ISRAEL RIVERA,9,6.21
23,WRITE-IN.,0,
24,Blanks,85,
