,0308 3H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1415,
1,BALLOTS CAST - TOTAL,54,
2,VOTER TURNOUT - TOTAL,,3.82
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,37,71.15
6,YOLANDA CANCEL.,14,26.92
7,JEFFERY P. DONNELLY,0,
8,LINDA MATYS 0 'CONNELL,1,1.92
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,37,19.47
13,JESSE LEDERMAN.,23,12.11
14,KATERI B. WALSH,23,12.11
15,TRACYE L. WHITFIELD,27,14.21
16,LaMAR COOK,16,8.42
17,SEAN CURRAN.,13,6.84
18,KENCY GILET.,4,2.11
19,JOHNNIE RAY MCKNIGHT.,10,5.26
20,KELLI P. MORIARTY-FINN,4,2.11
21,CHRISTOPHER J. POHNER,19,10.00
22,ISRAEL RIVERA,12,6.32
23,WRITE-IN.,2,1.05
24,Blanks,80,
