,0207 2G,,,
0,,VOTES,PERCENT,
1,REGISTERED VOTERS - TOTAL,1794,,
2,BALLOTS CAST - TOTAL,441,,
3,BALLOTS CAST - BLANK.,0,,
4,VOTER TURNOUT - TOTAL,,24.58,
5,VOTER TURNOUT - BLANK,,,
6,MAYOR,,,
7,Vote for 1,,,
8,Domenic J. Sarno,370,85.45,
9,Yolanda Cancel,63,14.55,
10,WRITE-IN.,0,,
11,Blanks,8,,
12,CITY COUNCIL AT LARGE,,,
13,Vote for 5,,,
14,Justin J. Hurst,173,11.91,
15,Jesse Lederman.,139,9.57,
16,Kateri B. Walsh,200,13.77,
17,Tracye L. Whitfield,149,10.26,
18,LaMar Cook,62,4.27,
19,Sean Curran.,229,15.77,
20,Johnnie Ray Mcknight.,42,2.89,
21,Kelli P. Moriarty-Finn,142,9.78,
22,Christopher J. Pohner,229,15.77,
23,Israel Rivera,84,5.79,
24,WRITE-IN.,3,.21,
25,Blanks,753,,
26,CITY COUNCIL WARD 2,,,
27,Vote for 1,,,
28,Michael A. Fenton.,316,98.44,
29,WRITE-IN.,5,1.56,
30,Blanks,120,,
