,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1720,,
1,BALLOTS CAST - TOTAL,376,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,21.86,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,311,84.97,
8,Yolanda Cancel,55,15.03,
9,WRITE-IN.,0,,
10,Blanks,9,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,222,15.67,
14,Jesse Lederman.,169,11.93,
15,Kateri B. Walsh,202,14.26,
16,Tracye L. Whitfield,165,11.64,
17,LaMar Cook,61,4.30,
18,Sean Curran. .,205,14.47,
19,Johnnie Ray Mcknight.,67,4.73,
20,Kelli P. Moriarty-Finn,121,8.54,
21,Christopher J. Pohner,116,8.19,
22,Israel Rivera,87,6.14,
23,WRITE-IN.,2,.14,
24,Blanks,463,,
25,CITY COUNCIL WARD 5,,,
26,Vote for 1,,,
27,Marcus J. Williams,246,78.59,
28,Edward Green,65,20.77,
29,WRITE-IN.,2,.64,
30,Blanks,63,,
