,,0407 4G VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL,1524 252,
1,,BALLOTS CAST - TOTAL,,16.54
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,200,81.97
5,,DOMENIC J. SARNO,40,16.39
6,,SALVATORE S. CIRCOSTA,4,1.64
7,,WRITE-I,8,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,112,12.56
11,,THOMAS ASHE.,172,19.28
12,,JUSTIN J. HURST,94,10.54
13,,TIMOTHY J. ROOKE,119,13.34
14,,KATERI B. WALSH,186,20.85
15,,BUD L. WILLIAMS,77,8.63
16,,LaMAR COOK,29,3.25
17,,JEFFERY P. DONNELLY,59,6.61
18,,JESSE L. LEDERMAN.,17,1.91
19,,"KENNETH S. POOLER, JR",27,3.03
20,,ALEXANDER J. SHERMAN.,0,
21,,WRITE-IN.,368,
22,,Blanks,,
23,,WARD FOUR COUNCILLOR,,
24,,VOTE FOR 1,153,70.83
25,,E. HENRY TWIGGS,63,29.17
26,,VICTORIA E. ROWE,0,
27,,WRITE-IN.,36,
28,,Blanks,,
29,,QUESTION 1,,
30,,VOTE FOR 1,149,71.63
31,,YES (SI),59,28.37
32,,NO (NO),,44
33,,Blanks,,
34,,QUESTION 2,,
35,,VOTE FOR 1,,138 70.41
36,,YES (SI),,58 29.59
37,,NO (NO) Blanks,,56
