,0808 8H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1694,
1,BALLOTS CAST - TOTAL.,56,
2,VOTER TURNOUT - TOTAL,,3.31
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,19,9.00
5,JUSTIN J. HURST,36,17.06
6,KATERI B. WALSH . .,27,12.80
7,ERNESTO E. CRUZ . .,9,4.27
8,VICTOR G. DAVILA . .,17,8.06
9,MARILYN FELIX,9,4.27
10,JESSE LEDERMAN. .,18,8.53
11,JYNAI S. McDONALD.,11,5.21
12,KELVIN MOLINA,3,1.42
13,KELLI P. MORIARTY-FINN,7,3.32
14,TIMOTHY RYAN,13,6.16
15,WILLIE J. THOMAS,12,5.69
16,TRACYE L. WHITFIELD,30,14.22
17,WRITE-IN.,0,
18,Blanks,69,24.64
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,35,36.46
22,JAMES M. ANZIANO,2,2.08
23,LaMAR COOK,16,16.67
24,JAMES J. FERRERA III.,12,12.50
25,JOESIAH GONZALEZ,8,8.33
26,RYAN HESS,1,1.04
27,MICHAEL D. KOCSMIERSKY,1,1.04
28,LaTONIA MONROE NAYLOR,21,21.88
29,WRITE-IN.,0,
30,Blanks,16,14.29
