,0208 2H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1781,
1,BALLOTS CAST - TOTAL.,164,
2,VOTER TURNOUT - TOTAL,,9.21
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,100,15.70
5,JUSTIN J. HURST,71,11.15
6,KATERI B. WALSH,77,12.09
7,ERNESTO E. CRUZ,43,6.75
8,VICTOR G. DAVILA,31,4.87
9,JESSE LEDERMAN.,67,10.52
10,JYNAI S. McDONALD.,29,4.55
11,KELLI P. MORIARTY-FINN,77,12.09
12,TIMOTHY RYAN,80,12.56
13,TRACYE L. WHITFIELD,61,9.58
14,WRITE-IN.,1,.16
15,Blanks,183,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,107,67.30
19,KENCY GILET.,52,32.70
20,WRITE-IN.,0,
21,Blanks,5,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,80,30.08
24,JAMES J. FERRERA III.,71,26.69
25,RYAN HESS,52,19.55
26,LaTONIA MONROE NAYLOR,62,23.31
27,WRITE-IN.,1,.38
28,Blanks,62,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,85,61.59
32,ZAIDA GOVAN.,53,38.41
33,WRITE-IN.,0,
34,Blanks,26,
