,0203 2C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1540,
1,BALLOTS CAST - TOTAL,115,
2,VOTER TURNOUT - TOTAL,,7.47
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,68,17.57
5,JUSTIN J. HURST,40,10.34
6,KATERI B. WALSH,52,13.44
7,ERNESTO E. CRUZ,37,9.56
8,VICTOR G. DAVILA .,28,7.24
9,JESSE LEDERMAN.,34,8.79
10,JYNAI S. McDONALD.,11,2.84
11,KELLI P. MORIARTY-FINN,32,8.27
12,TIMOTHY RYAN,51,13.18
13,TRACYE L. WHITFIELD,34,8.79
14,WRITE-IN.,0,
15,Blanks,188,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,92,85.19
19,KENCY GILET.,16,14.81
20,WRITE-IN.,0,
21,Blanks,7,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,50,29.59
24,JAMES J. FERRERA III.,49,28.99
25,RYAN HESS,40,23.67
26,LaTONIA MONROE NAYLOR,30,17.75
27,WRITE-IN,0,
28,Blanks,61,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,85,83.33
32,ZAIDA GOVAN.,17,16.67
33,WRITE-IN.,0,
34,Blanks,13,
