,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1463,
1,BALLOTS CAST - TOTAL.,36,
2,VOTER TURNOUT . TOTAL,,2.46
3,CITY COUNCIL AT LARGE WARD 5,,
4,VOTE FOR 1,,
5,CLODO CONCEPCION,19,52.78
6,MICHAEL BELANGER,12,33.33
7,KYLE BURNS,5,13.89
8,WRITE-IN,0,
