,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1418,
1,BALLOTS CAST - TOTAL.,121,
2,VOTER TURNOUT - TOTAL,,8.53
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,84,71.79
6,YOLANDA CANCEL,29,24.79
7,JEFFERY P. DONNELLY,0,
8,LINDA MATYS O'CONNELL,3,2.56
9,WRITE-IN.,1,.85
10,Blanks,4,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,92,21.00
14,JESSE LEDERMAN.,58,13.24
15,KATERI B. WALSH,53,12.10
16,TRACYE L. WHITFIELD,82,18.72
17,LaMAR COOK,55,12.56
18,SEAN CURRAN.,18,4.11
19,KENCY GILET.,2,.46
20,JOHNNIE RAY MCKNIGHT.,21,4.79
21,KELLI P. MORIARTY-FINN,13,2.97
22,CHRISTOPHER J. POHNER,21,4.79
23,ISRAEL RIVERA,22,5.02
24,WRITE-IN.,1,.23
25,Blanks,167,
